doc_id,feed_id,rate
1,2304,2
1,2305,2
1,2306,2
1,2368,2
1,2373,2
1,2375,2
1,2376,2
1,2377,2
1,2378,2
1,2458,2
1,2459,2
1,2460,2
1,2462,2
1,2486,2
1,2487,2
1,2488,2
1,2489,2
1,2490,2
1,2491,2
1,2492,2
1,2493,2
1,2494,2
1,2495,2
1,2496,2
1,2497,2
1,2498,2
1,2527,2
1,2528,2
1,2529,2
1,2530,2
1,2531,2
1,2532,2
1,2533,2
1,2534,2
1,2535,2
1,2536,2
1,2537,2
1,2538,2
1,2539,2
1,2540,2
1,2541,2
1,2902,2
1,4018,1
1,4157,1
1,4193,1
1,4198,1
1,4247,1
1,4286,1
1,4294,1
1,4325,1
1,4326,1
1,4341,1
1,4358,1
1,4379,1
1,4381,1
1,4415,1
1,4419,1
1,4435,1
1,4436,1
1,4452,1
1,4470,1
1,4473,1
1,4480,1
1,4482,1
1,4548,1
1,4566,1
1,4582,1
1,4601,1
1,4603,1
1,4671,1
1,4698,1
1,4754,1
1,4811,1
1,4843,1
1,4883,1
1,4906,2
1,4914,1
1,4916,1
1,4917,1
1,5008,2
1,5089,1
1,5092,1
1,5112,1
1,5134,1
1,5156,1
1,5157,1
1,5208,1
1,5229,1
1,5232,1
1,5272,1
1,5336,1
1,5337,1
1,5353,1
1,5359,1
1,5376,1
1,5382,1
1,5416,1
1,5435,1
1,5436,2
1,5439,1
1,5440,1
1,5487,1
1,5503,1
1,5723,1
1,5776,1
1,5791,2
1,5814,1
1,5815,1
1,5901,3
1,5902,1
1,6045,1
1,6046,2
1,6075,1
1,6078,2
1,6116,1
1,6117,1
1,6206,1
1,6306,1
1,6333,1
1,6404,1
1,6405,1
1,6668,1
1,6847,1
1,7036,1
1,7129,1
1,7379,2
1,7442,2
1,7473,2
1,7484,1
1,7621,2
1,7625,1
1,7670,1
1,7721,1
1,7722,1
1,7801,2
1,7808,2
1,7907,1
1,8015,1
1,8154,2
1,8467,1
1,8691,1
1,8736,1
1,9073,1
1,9404,1
1,9566,1
1,9568,1
1,10220,1
1,10247,1
1,10481,1
3,9782,1
3,9860,1
3,9904,1
4,2002,2
4,2016,3
4,2021,2
4,2025,2
4,2184,2
4,2233,2
