,doc_id,speciality
0,17804,Acupuncture
1,20087,Acupuncture
2,21835,Acupuncture
3,23981,Acupuncture
4,25360,Acupuncture
5,25773,Acupuncture
6,26049,Acupuncture
7,28153,Acupuncture
8,28704,Acupuncture
9,28727,Acupuncture
10,28866,Acupuncture
11,29082,Acupuncture
12,29672,Acupuncture
13,29866,Acupuncture
14,30015,Acupuncture
15,30480,Acupuncture
16,30483,Acupuncture
17,16250,Andrology
18,16282,Andrology
19,19306,Andrology
20,20316,Andrology
21,23382,Andrology
22,26584,Andrology
23,4073,Anesthesiology
24,4106,Anesthesiology
25,4276,Anesthesiology
26,4029,Anesthesiology
27,4058,Anesthesiology
28,4160,Anesthesiology
29,4174,Anesthesiology
30,3930,Anesthesiology
31,4158,Anesthesiology
32,4302,Anesthesiology
33,4179,Anesthesiology
34,4126,Anesthesiology
35,3984,Anesthesiology
36,4272,Anesthesiology
37,3953,Anesthesiology
38,4336,Anesthesiology
39,4351,Anesthesiology
40,4044,Anesthesiology
41,4339,Anesthesiology
42,3938,Anesthesiology
43,4237,Anesthesiology
44,4323,Anesthesiology
45,724,Anesthesiology
46,4135,Anesthesiology
47,3965,Anesthesiology
48,4046,Anesthesiology
49,3926,Anesthesiology
50,4167,Anesthesiology
51,4065,Anesthesiology
52,3995,Anesthesiology
53,4189,Anesthesiology
54,4137,Anesthesiology
55,4264,Anesthesiology
56,3915,Anesthesiology
57,4006,Anesthesiology
58,4314,Anesthesiology
59,16169,Anesthesiology
60,16281,Anesthesiology
61,16295,Anesthesiology
62,16326,Anesthesiology
63,16333,Anesthesiology
64,16389,Anesthesiology
65,16598,Anesthesiology
66,16684,Anesthesiology
67,16811,Anesthesiology
68,16814,Anesthesiology
69,16824,Anesthesiology
70,16828,Anesthesiology
71,16831,Anesthesiology
72,16862,Anesthesiology
73,16866,Anesthesiology
74,16885,Anesthesiology
75,16901,Anesthesiology
76,16911,Anesthesiology
77,16922,Anesthesiology
78,16951,Anesthesiology
79,17045,Anesthesiology
80,17078,Anesthesiology
81,17095,Anesthesiology
82,17103,Anesthesiology
83,17108,Anesthesiology
84,17145,Anesthesiology
85,17146,Anesthesiology
86,17296,Anesthesiology
87,17299,Anesthesiology
88,17310,Anesthesiology
89,17345,Anesthesiology
90,17346,Anesthesiology
91,17360,Anesthesiology
92,17402,Anesthesiology
93,17418,Anesthesiology
94,17421,Anesthesiology
95,17425,Anesthesiology
96,17426,Anesthesiology
97,17429,Anesthesiology
98,17435,Anesthesiology
99,17464,Anesthesiology
100,17496,Anesthesiology
101,17509,Anesthesiology
102,17543,Anesthesiology
103,17562,Anesthesiology
104,17597,Anesthesiology
105,17601,Anesthesiology
106,17623,Anesthesiology
107,17658,Anesthesiology
108,17659,Anesthesiology
109,17700,Anesthesiology
110,17699,Anesthesiology
111,17716,Anesthesiology
112,17749,Anesthesiology
113,17750,Anesthesiology
114,17751,Anesthesiology
115,17765,Anesthesiology
116,17773,Anesthesiology
117,17868,Anesthesiology
118,17915,Anesthesiology
119,17937,Anesthesiology
120,17994,Anesthesiology
121,18038,Anesthesiology
122,18069,Anesthesiology
123,18074,Anesthesiology
124,18113,Anesthesiology
125,18121,Anesthesiology
126,18174,Anesthesiology
127,18221,Anesthesiology
128,18222,Anesthesiology
129,18250,Anesthesiology
130,18252,Anesthesiology
131,18260,Anesthesiology
132,18263,Anesthesiology
133,18270,Anesthesiology
134,18301,Anesthesiology
135,18304,Anesthesiology
136,18308,Anesthesiology
137,18309,Anesthesiology
138,18310,Anesthesiology
139,18311,Anesthesiology
140,18313,Anesthesiology
141,18314,Anesthesiology
142,18317,Anesthesiology
143,18322,Anesthesiology
144,18332,Anesthesiology
145,18343,Anesthesiology
146,18375,Anesthesiology
147,18385,Anesthesiology
148,18404,Anesthesiology
149,18411,Anesthesiology
150,18412,Anesthesiology
151,18416,Anesthesiology
152,18436,Anesthesiology
153,18454,Anesthesiology
154,18461,Anesthesiology
155,18469,Anesthesiology
156,18470,Anesthesiology
157,18479,Anesthesiology
158,18495,Anesthesiology
159,18521,Anesthesiology
160,18571,Anesthesiology
161,18592,Anesthesiology
162,18635,Anesthesiology
163,18664,Anesthesiology
164,18669,Anesthesiology
165,18688,Anesthesiology
166,18696,Anesthesiology
167,18710,Anesthesiology
168,18739,Anesthesiology
169,18742,Anesthesiology
170,18751,Anesthesiology
171,18753,Anesthesiology
172,18767,Anesthesiology
173,18787,Anesthesiology
174,18848,Anesthesiology
175,18871,Anesthesiology
176,18877,Anesthesiology
177,18880,Anesthesiology
178,18891,Anesthesiology
179,18918,Anesthesiology
